"","observationUnitName","germplasmDbId","variable","value","resids"
"411","Adv_Neo_17-plot1051","84702","Grain.yield...bu.ac",71.6,-3.12512291530035
"803","Adv_Neo_17-plot1083","84976","Plant.height.inches",37.00001998,-3.00991570010467
"88","Adv_Neo_17-plot1088","84773","Grain.test.weight...lbs.bu",54.7,-4.08103048004607
"370","Adv_Neo_18-plot1010","84861","Grain.yield...bu.ac",78.2,3.65280863851099
"18","Adv_Neo_20-plot118","97111","Grain.test.weight...lbs.bu",57.8792396492017,-3.12544602304875
"34","Adv_Neo_20-plot134","97186","Grain.test.weight...lbs.bu",58.9458103998842,-3.07066428489565
"37","Adv_Neo_20-plot137","97189","Grain.test.weight...lbs.bu",56.1253232969018,3.12544602304872
"762","Adv_Neo_20-plot162","100748","Plant.height.inches",34.00001836,3.07066428489562
"758","Adv_Rid_18-plot1038","85003","Lodging.incidence...0.9.percentage.scale.",1,3.0330508668462
"778","Adv_Rid_18-plot1058","84966","Lodging.incidence...0.9.percentage.scale.",2,3.24648398999489
"377","Adv_Scb_15-plot1017","95570","FHB.incidence.....",80,3.26100861629739
"33","Adv_Scb_15-plot1033","85081","FHB.grain.incidence.....",1,3.11124910029466
"396","Adv_Scb_15-plot1036","95695","FHB.incidence.....",30,-3.22613529640638
"25","Adv_Scb_16-plot1025","85081","FHB.DON.content...ppm.",0.6,3.39257240181579
"291","Adv_Scb_16-plot1029","93487","FHB.DON.content...ppm.",0.4,-3.04900735908986
"729","Adv_Scb_19-plot1003","100570","FHB.incidence.....",80,3.57466472151371
"7491","Adv_Scb_19-plot1023","84966","FHB.incidence.....",40,3.04159201449507
"1632","Adv_Scb_20-plot1048","97254","FHB.severity.....",68.5714285714286,3.00240313833385
"1667","Adv_Scb_20-plot1083","97051","FHB.severity.....",72.8571428571429,4.0862449752581
"1696","ADV_Scb_21-rep1-18-13765_1112","240498","FHB.severity.....",10,3.39943541324812
"361","Adv_Stj_16-plot1001","84789","Grain.yield...bu.ac",39.1,-3.25929480304533
"2","Adv_Stj_16-plot1002","85077","Grain.test.weight...lbs.bu",NA,-3.63063665509307
"3","Adv_Stj_16-plot1003","84900","Grain.test.weight...lbs.bu",NA,-3.6845411174871
"112","Adv_Stj_16-plot1112","96180","Grain.test.weight...lbs.bu",NA,-3.05177702369151
"493","Adv_Stj_16-plot2013","85257","Grain.yield...bu.ac",89,-4.85314127353709
"415","Adv_Stj_17-plot1055","84862","Grain.yield...bu.ac",59.8,-4.1982244774037
"1448","Adv_Urb_15-plot1008","93487","Plant.height.inches",37.00001998,-3.09097654696261
"1105","Adv_Urb_15-plot1025","84861","Lodging.incidence...0.9.percentage.scale.",5,3.70917166868643
"1","Adv_Urb_16-plot1001","84789","Grain.test.weight...lbs.bu",55.5,-3.38061765473367
"362","Adv_Urb_16-plot1002","85077","Grain.yield...bu.ac",86.1999999999999,-3.38061765473367
"417","Adv_Urb_16-plot1057","96204","Grain.yield...bu.ac",100.8,3.80319408118191
"59","Adv_Urb_16-plot1059","96210","Grain.test.weight...lbs.bu",56.4999999999999,4.22577123457201
"1091","Adv_Urb_17-plot1011","84719","Plant.height.inches",36.00001944,3.25096487638095
"1455","Adv_Urb_17-plot1015","84817","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",5,-3.30482862729503
"1465","Adv_Urb_17-plot1025","84941","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",3,3.21252779593009
"261","Adv_Urb_18-plot1026","84927","Grain.test.weight...lbs.bu",57.1,-3.28552877858387
"1488","Adv_Urb_18-plot1048","84682","Plant.height.inches",36.00001944,3.03246560136779
"1430","Adv_Urb_20-plot130","101023","Plant.height.inches",33.00001782,3.1572854785988
"732","Adv_Urb_20-plot132","97208","Grain.yield...bu.ac",66.4109999965494,3.1572854785988
"1100","Adv_Urb_20-plot150","96694","Heading.time...Julian.date..JD..",130,-3.15728547859883
"751","Adv_Urb_20-plot151","96702","Grain.yield...bu.ac",77.2440000029468,-3.15728547859883
"1406","Adv_Urb_21-plot106","97161","Plant.height.inches",38.00002052,-3.11640019568513
"14651","Adv_Urb_21-plot165","97317","Plant.height.inches",40.0000216,3.11640019568507
"722","AdvHY_Urb_19-plot1002","85077","Plant.height.inches",37.00001998,3.09495006855893
"7291","AdvHY_Urb_19-plot1009","84861","Plant.height.inches",29.00001566,3.61077505388681
"250","AdvHY_Urb_19-plot1010","85211","Grain.yield...bu.ac",60.4,3.09495006855892
"7311","AdvHY_Urb_19-plot1011","85202","Plant.height.inches",28.00001512,-3.09494975537578
"7531","AdvHY_Urb_19-plot1033","85258","Plant.height.inches",33.00001782,3.09494975537579
"518","AdvHY_Urb_19-plot1038","96652","Heading.time...Julian.date..JD..",147,-3.09495006855892
"282","AdvHY_Urb_19-plot1042","96730","Grain.yield...bu.ac",81.7,-3.09495006855892
"1003","AdvHY_Urb_19-plot1043","96782","Winter.kill.damage.....",10,-3.61077505388681
"1415","AdvHY_Urb_20-plot10115","97307","Heading.time...Julian.date..JD..",136,-3.09569171803431
"1800","AdvHY_Urb_20-plot10150","96646","Lodging.incidence...0.9.percentage.scale.",1,3.09569171803429
"402","Pr_Car_20-plot119","240812","Grain.yield...bu.ac",96.554974985435,3.0621852333053
"40","Pr_Car_20-plot154","240846","Grain.test.weight...lbs.bu",59.5625430008677,-3.0621852333053
"4799","Pr_Scb_20-plot1044","240487","Heading.time...Julian.date..JD..",141,-3.74008157337894
"4832","Pr_Scb_20-plot1077","240817","Heading.time...Julian.date..JD..",136,4.26344027361321
"78","Pr_Scb_20-plot1078","240867","FHB.DON.content...ppm.",NA,3.52451306528254
"1029","Pr_Scb_20-plot1078","240867","FHB.grain.incidence.....",2,3.15504946111719
"1980","Pr_Scb_20-plot1078","240867","FHB.incidence.....",35,3.89397666944789
"81","Pr_Scb_20-plot1081","240610","FHB.DON.content...ppm.",NA,-4.23422262218956
"851","Pr_Scb_20-plot1085","240483","FHB.DON.content...ppm.",NA,3.52451306528254
"2054","Pr_Scb_20-plot1152","240572","FHB.incidence.....",50,-3.10960392939259
"158","Pr_Scb_20-plot1158","240476","FHB.DON.content...ppm.",NA,-3.47906753355794
"1279","Pr_Urb_20-plot119","240489","Grain.yield...bu.ac",67.3529999983987,3.22016233698131
"3218","Pr_Urb_20-plot168","240475","Septoria.nodorum.leaf.blotch.severity...0.9.percentage.scale.",8,-3.22016233698131
"166","Pr3_Brt_15-plot138","96224","Grain.test.weight...lbs.bu",NA,-3.00788236310858
"891","Pr3_Brt_15-plot205","96288","Grain.yield...bu.ac",NA,3.00788236310858
"841","Pr1_Brt_16-plot101","84789","Grain.yield...bu.ac",61.2,3.03351150415124
"1689","Pr1_Brt_16-plot109","84980","Plant.height.inches",40.0000216,-3.42544679665084
"2555","Pr1_Brt_16-plot135","96577","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",3,3.42544679665084
"977","Pr1_Brt_16-plot253","96573","Grain.yield...bu.ac",69.2,-3.42544679665085
"2669","Pr1_Brt_16-plot265","96314","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",7,3.42544679665083
"2571","Pr1_Neo_17-plot151","85107","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",4,3.13384298548121
"2585","Pr1_Neo_17-plot165","84989","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",4,-3.13384298548121
"984","Pr1_Neo_17-plot260","84664","Grain.yield...bu.ac",65.5,-3.13384298548121
"1829","Pr1_Neo_17-plot265","84728","Plant.height.inches",39.00002106,3.13384298548121
"2700","Pr2_Neo_17-plot112","84674","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",5,3.13384298548121
"2704","Pr2_Neo_17-plot116","85010","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",6,3.13384298548121
"2719","Pr2_Neo_17-plot131","85002","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",4,-3.13384298548121
"1046","Pr2_Neo_17-plot138","84815","Grain.yield...bu.ac",82.4,-3.13384298548121
"16","Pr1_Neo_18-plot116","96706","Grain.test.weight...lbs.bu",NA,3.30158619507277
"894","Pr1_Neo_18-plot154","96950","Grain.yield...bu.ac",69.7,-3.30158619507276
"542","Pr2_Rid_18-plot138","97018","Grain.yield...bu.ac",81,3.55460387220714
"1195","Pr1_Scb_15-plot101","96212","FHB.incidence.....",70,-3.01835908831361
"80","Pr1_Scb_15-plot216","96291","FHB.grain.incidence.....",38,-3.01835908831361
"2609","Pr2_Scb_15-plot129","96136","FHB.severity.....",52.1,3.08323332211222
"1431","Pr2_Scb_15-plot145","96189","FHB.incidence.....",80,-3.17200858941555
"1442","Pr2_Scb_15-plot156","95314","FHB.incidence.....",85,3.47247872490379
"14551","Pr2_Scb_15-plot205","84900","FHB.incidence.....",95,-3.58678280090268
"1476","Pr2_Scb_15-plot226","95985","FHB.incidence.....",75,-3.17542302277337
"1478","Pr2_Scb_15-plot228","96133","FHB.incidence.....",70,3.64661482615265
"2674","Pr2_Scb_15-plot230","96076","FHB.severity.....",15.1,3.15493642262645
"1501","Pr2_Scb_15-plot251","96003","FHB.incidence.....",65,3.20956735635159
"1502","Pr2_Scb_15-plot252","96179","FHB.incidence.....",90,3.43150552460994
"168","Pr1_Scb_16-plot284","85215","FHB.grain.incidence.....",5,3.55808285036609
"3227","Pr1_Scb_19-plot135","97257","FHB.incidence.....",90,3.21866140106026
"90","Pr1_Scb_19-plot204","97283","FHB.DON.content...ppm.",5.8,3.21866140106026
"6532","Pr1_Scb_19-plot262","97247","Heading.time...Julian.date..JD..",NA,3.21866140106026
"185","Pr1_Scb_19-plot313","97278","FHB.DON.content...ppm.",NA,3.21866140106026
"2733","Pr1_Urb_15-plot161","84769","Plant.height.inches",40.0000215999996,3.22932826481053
"65","Pr2_Urb_15-plot101","84789","Grain.test.weight...lbs.bu",57.2,3.22932826481053
"2738","Pr2_Urb_15-plot102","84900","Plant.height.inches",40.0000215999996,3.22932826481053
"70","Pr2_Urb_15-plot106","95976","Grain.test.weight...lbs.bu",58.3,-3.22932826481053
"71","Pr2_Urb_15-plot107","95977","Grain.test.weight...lbs.bu",57.1,-3.22932826481053
"77","Pr2_Urb_15-plot113","95989","Grain.test.weight...lbs.bu",56.8,-3.22932826481053
"1798","Pr1_Urb_16-plot234","96581","Heading.time...Julian.date..JD..",132,3.16026488328557
"120","Pr1_Urb_16-plot236","96378","Grain.test.weight...lbs.bu",56.3,-3.16026488328556
"962","Pr1_Urb_16-plot238","85076","Grain.yield...bu.ac",106,3.16026488328557
"3483","Pr1_Urb_16-plot239","96584","Plant.height.inches",44.00002376,-3.68697569716649
"1806","Pr1_Urb_16-plot242","96576","Heading.time...Julian.date..JD..",130,-3.16026488328556
"967","Pr1_Urb_16-plot243","85154","Grain.yield...bu.ac",99.3999999999999,-3.16026488328556
"974","Pr1_Urb_16-plot250","96610","Grain.yield...bu.ac",109.3,3.16026488328556
"2656","Pr1_Urb_16-plot252","96598","Lodging.incidence...0.9.percentage.scale.",1,3.6869756971665
"4337","Pr1_Urb_16-plot253","85088","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",5,3.16026488328557
"2658","Pr1_Urb_16-plot254","96315","Lodging.incidence...0.9.percentage.scale.",1,-3.16026488328556
"21","Pr1_Urb_17-plot102","84900","Grain.test.weight...lbs.bu",54.1,3.17861790984554
"1683","Pr1_Urb_17-plot103","84801","Heading.time...Julian.date..JD..",117,-3.17861790984553
"846","Pr1_Urb_17-plot106","84997","Grain.yield...bu.ac",85.1,3.17861790984554
"3366","Pr1_Urb_17-plot106","84997","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",8,-3.17861790984554
"861","Pr1_Urb_17-plot121","84745","Grain.yield...bu.ac",94.8,-3.17861790984554
"1711","Pr1_Urb_17-plot131","85170","Heading.time...Julian.date..JD..",119,-3.17861790984553
"331","Pr1_Urb_17-plot133","84975","Grain.test.weight...lbs.bu",57.9,3.17861790984554
"1714","Pr1_Urb_17-plot134","84820","Heading.time...Julian.date..JD..",121,3.17861790984554
"371","Pr1_Urb_17-plot137","84810","Grain.test.weight...lbs.bu",58.8,3.97327238730693
"47","Pr1_Urb_17-plot147","85226","Grain.test.weight...lbs.bu",57.1,3.17861790984554
"54","Pr1_Urb_17-plot154","84685","Grain.test.weight...lbs.bu",56.2,-3.17861790984553
"3424","Pr1_Urb_17-plot164","85148","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",5,-3.97327238730692
"1298","Pr1_Urb_19-plot174","97296","Grain.yield...bu.ac",80.0999999999999,3.06925556008227
"2522","Pr1_Urb_19-plot174","97296","Heading.time...Julian.date..JD..",136,-3.06925556008226
"2540","Pr1_Urb_19-plot208","97282","Heading.time...Julian.date..JD..",136,3.06925556008227
"3768","Pr1_Urb_19-plot212","97295","Plant.height.inches",38.00002052,-3.06925556008226
"3783","Pr1_Urb_19-plot227","97303","Plant.height.inches",35.0000189,3.06925556008226
"5029","Pr1_Urb_19-plot249","97286","Septoria.nodorum.leaf.blotch.severity...0.9.percentage.scale.",3,-3.06925556008227
"1372","Pr1_Urb_19-plot264","97299","Grain.yield...bu.ac",98.9,3.58079815342931
"1376","Pr1_Urb_19-plot268","97300","Grain.yield...bu.ac",88.6,-3.58079815342931
"1399","Pr2_Urb_19-plot107","97309","Grain.yield...bu.ac",95.1,3.06925556008226
"3877","Pr2_Urb_19-plot137","97043","Plant.height.inches",37.00001998,-3.06925556008226
