"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","FHB DON content - ppm|CO_321:0001154","FHB grain incidence - %|CO_321:0001155","FHB incidence - %|CO_321:0001149","FHB severity - %|CO_321:0001440","Heading time - Julian date (JD)|CO_321:0001233","notes"
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","240787","OH16-168-48","","plot","282774","A5S_Scb_21-rep1-OH16-168-48_110","1","1","110","7","2","test","","","","","","","","","","","1.5","20","40","33","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280853","OH16-184-77","","plot","282783","A5S_Scb_21-rep1-OH16-184-77_109","1","1","109","8","2","test","","","","","","","","","","","0.53","15","5","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280854","OH17-124-70","","plot","282750","A5S_Scb_21-rep1-OH17-124-70_101","1","1","101","1","1","test","","","","","","","","","","","1.0","10","2","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282725","P2105","","plot","282745","A5S_Scb_21-rep1-P2105_127","1","1","127","6","4","test","","","","","","","","","","","3.2","40","40","21","141",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282726","P2106","","plot","282802","A5S_Scb_21-rep1-P2106_115","1","1","115","2","2","test","","","","","","","","","","","0.80","15","","","140",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282727","P2112","","plot","282754","A5S_Scb_21-rep1-P2112_123","1","1","123","7","3","test","","","","","","","","","","","3.7","20","60","14","139",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282728","P2117","","plot","282778","A5S_Scb_21-rep1-P2117_103","1","1","103","3","1","test","","","","","","","","","","","2.1","20","20","33","134",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","84900","Pio 25R47","Pio25R47","plot","282799","A5S_Scb_21-rep1-Pio 25R47_111","1","1","111","6","2","check","","","","","","","","","","","2.2","15","20","14","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282729","X12-3014-46-8-5","","plot","282744","A5S_Scb_21-rep1-X12-3014-46-8-5_116","1","1","116","1","2","test","","","","","","","","","","","4.9","20","10","7","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280864","X12-3024-47-4-1","","plot","282775","A5S_Scb_21-rep1-X12-3024-47-4-1_124","1","1","124","8","3","test","","","","","","","","","","","4.2","25","30","14","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282730","X12-3035-50-3-3","","plot","282732","A5S_Scb_21-rep1-X12-3035-50-3-3_118","1","1","118","2","3","test","","","","","","","","","","","3.9","10","15","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280867","X12-3114-65-7-1","","plot","282753","A5S_Scb_21-rep1-X12-3114-65-7-1_121","1","1","121","5","3","test","","","","","","","","","","","0.96","50","30","21","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","85081","02-18228","IL02-18228","plot","282773","A5S_Scb_21-rep2-02-18228_145","2","2","145","9","3","check","","","","","","","","","","","0.37","3","1","7","134",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","84968","07-19334","IL07-19334","plot","282741","A5S_Scb_21-rep2-07-19334_141","2","2","141","12","2","test","","","","","","","","","","","1.1","15","5","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","84801","07-4415","IL07-4415","plot","282761","A5S_Scb_21-rep2-07-4415_152","2","2","152","16","3","check","","","","","","","","","","","0.83","10","30","7","132",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","94122","0762A1-2-8","","plot","282768","A5S_Scb_21-rep2-0762A1-2-8_135","2","2","135","15","1","test","","","","","","","","","","","0.86","20","10","7","135",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96752","16-23941","IL16-23941","plot","282791","A5S_Scb_21-rep2-16-23941_139","2","2","139","14","2","test","","","","","","","","","","","1.1","15","30","14","131",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96756","16-23972","IL16-23972","plot","282781","A5S_Scb_21-rep2-16-23972_150","2","2","150","14","3","test","","","","","","","","","","","0.38","10","20","7","134",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96907","16-36206","IL16-36206","plot","282742","A5S_Scb_21-rep2-16-36206_137","2","2","137","16","2","test","","","","","","","","","","","0.34","10","5","7","132",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96920","16-36752","","plot","282805","A5S_Scb_21-rep2-16-36752_138","2","2","138","15","2","test","","","","","","","","","","","1.5","10","20","7","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","98931","KY07C-1145-94-12-5","","plot","282804","A5S_Scb_21-rep2-KY07C-1145-94-12-5_146","2","2","146","10","3","test","","","","","","","","","","","1.5","35","30","14","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","99368","MI16R0898","","plot","282770","A5S_Scb_21-rep2-MI16R0898_151","2","2","151","15","3","test","","","","","","","","","","","2.4","20","20","33","139",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282721","MI18W0144","","plot","282800","A5S_Scb_21-rep2-MI18W0144_148","2","2","148","12","3","test","","","","","","","","","","","11.1","40","50","21","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282722","MI18W0200","","plot","282764","A5S_Scb_21-rep2-MI18W0200_147","2","2","147","11","3","test","","","","","","","","","","","14.0","45","80","66","132",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282723","MI18W0286","","plot","282795","A5S_Scb_21-rep2-MI18W0286_144","2","2","144","9","2","test","","","","","","","","","","","7.9","20","60","25","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282724","MI18W1044","","plot","282814","A5S_Scb_21-rep2-MI18W1044_155","2","2","155","14","4","test","","","","","","","","","","","6.5","15","6","66","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","100222","OH15-191-52","","plot","282788","A5S_Scb_21-rep2-OH15-191-52_140","2","2","140","13","2","test","","","","","","","","","","","0.78","20","10","14","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","240786","OH16-167-76","","plot","282736","A5S_Scb_21-rep2-OH16-167-76_142","2","2","142","11","2","test","","","","","","","","","","","2.2","30","60","33","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","240787","OH16-168-48","","plot","282780","A5S_Scb_21-rep2-OH16-168-48_131","2","2","131","11","1","test","","","","","","","","","","","2.0","15","50","33","135",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280853","OH16-184-77","","plot","282758","A5S_Scb_21-rep2-OH16-184-77_154","2","2","154","15","4","test","","","","","","","","","","","0.33","5","2","7","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280854","OH17-124-70","","plot","282812","A5S_Scb_21-rep2-OH17-124-70_149","2","2","149","13","3","test","","","","","","","","","","","1.5","3","1","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282725","P2105","","plot","282731","A5S_Scb_21-rep2-P2105_153","2","2","153","16","4","test","","","","","","","","","","","3.8","30","90","14","142",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282726","P2106","","plot","282771","A5S_Scb_21-rep2-P2106_156","2","2","156","13","4","test","","","","","","","","","","","1.4","15","2","7","140",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282727","P2112","","plot","282767","A5S_Scb_21-rep2-P2112_133","2","2","133","13","1","test","","","","","","","","","","","3.6","20","15","7","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282728","P2117","","plot","282779","A5S_Scb_21-rep2-P2117_132","2","2","132","12","1","test","","","","","","","","","","","3.3","50","25","33","134",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","84900","Pio 25R47","Pio25R47","plot","282733","A5S_Scb_21-rep2-Pio 25R47_143","2","2","143","10","2","check","","","","","","","","","","","2.5","25","50","10","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282729","X12-3014-46-8-5","","plot","282789","A5S_Scb_21-rep2-X12-3014-46-8-5_129","2","2","129","9","1","test","","","","","","","","","","","7.5","80","40","21","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280864","X12-3024-47-4-1","","plot","282777","A5S_Scb_21-rep2-X12-3024-47-4-1_130","2","2","130","10","1","test","","","","","","","","","","","6.0","60","10","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282730","X12-3035-50-3-3","","plot","282765","A5S_Scb_21-rep2-X12-3035-50-3-3_134","2","2","134","14","1","test","","","","","","","","","","","5.1","60","60","33","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280867","X12-3114-65-7-1","","plot","282808","A5S_Scb_21-rep2-X12-3114-65-7-1_136","2","2","136","16","1","test","","","","","","","","","","","3.5","50","60","33","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","85081","02-18228","IL02-18228","plot","282813","A5S_Scb_21-rep3-02-18228_176","3","3","176","20","3","check","","","","","","","","","","","","5","2","7","134",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","84968","07-19334","IL07-19334","plot","282809","A5S_Scb_21-rep3-07-19334_172","3","3","172","17","2","test","","","","","","","","","","","","15","5","14","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","84801","07-4415","IL07-4415","plot","282798","A5S_Scb_21-rep3-07-4415_167","3","3","167","22","2","check","","","","","","","","","","","","5","20","21","131",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","94122","0762A1-2-8","","plot","282782","A5S_Scb_21-rep3-0762A1-2-8_179","3","3","179","23","3","test","","","","","","","","","","","","10","1","4","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96752","16-23941","IL16-23941","plot","282759","A5S_Scb_21-rep3-16-23941_184","3","3","184","21","4","test","","","","","","","","","","","","3","20","7","132",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96756","16-23972","IL16-23972","plot","282762","A5S_Scb_21-rep3-16-23972_159","3","3","159","19","1","test","","","","","","","","","","","","15","30","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96907","16-36206","IL16-36206","plot","282806","A5S_Scb_21-rep3-16-36206_171","3","3","171","18","2","test","","","","","","","","","","","","3","5","4","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","96920","16-36752","","plot","282740","A5S_Scb_21-rep3-16-36752_177","3","3","177","21","3","test","","","","","","","","","","","","5","10","7","136",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","98931","KY07C-1145-94-12-5","","plot","282785","A5S_Scb_21-rep3-KY07C-1145-94-12-5_178","3","3","178","22","3","test","","","","","","","","","","","","10","30","7","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","99368","MI16R0898","","plot","282748","A5S_Scb_21-rep3-MI16R0898_161","3","3","161","21","1","test","","","","","","","","","","","","30","25","33","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282721","MI18W0144","","plot","282755","A5S_Scb_21-rep3-MI18W0144_181","3","3","181","24","4","test","","","","","","","","","","","","20","30","18","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282722","MI18W0200","","plot","282751","A5S_Scb_21-rep3-MI18W0200_163","3","3","163","23","1","test","","","","","","","","","","","","50","70","75","132",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282723","MI18W0286","","plot","282811","A5S_Scb_21-rep3-MI18W0286_170","3","3","170","19","2","test","","","","","","","","","","","","60","90","33","141",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282724","MI18W1044","","plot","282747","A5S_Scb_21-rep3-MI18W1044_180","3","3","180","24","3","test","","","","","","","","","","","","15","40","33","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","100222","OH15-191-52","","plot","282769","A5S_Scb_21-rep3-OH15-191-52_164","3","3","164","24","1","test","","","","","","","","","","","","5","2","7","139",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","240786","OH16-167-76","","plot","282752","A5S_Scb_21-rep3-OH16-167-76_173","3","3","173","17","3","test","","","","","","","","","","","","10","60","25","137",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","240787","OH16-168-48","","plot","282786","A5S_Scb_21-rep3-OH16-168-48_157","3","3","157","17","1","test","","","","","","","","","","","","10","60","33","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280853","OH16-184-77","","plot","282801","A5S_Scb_21-rep3-OH16-184-77_160","3","3","160","20","1","test","","","","","","","","","","","","20","5","7","138",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","280854","OH17-124-70","","plot","282796","A5S_Scb_21-rep3-OH17-124-70_169","3","3","169","20","2","test","","","","","","","","","","","","20","15","21","139",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282725","P2105","","plot","282810","A5S_Scb_21-rep3-P2105_182","3","3","182","23","4","test","","","","","","","","","","","","20","30","14","142",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282726","P2106","","plot","282807","A5S_Scb_21-rep3-P2106_183","3","3","183","22","4","test","","","","","","","","","","","","5","5","7","140",""
"2021","326","University of Illinois","Wheat breeding program at the University of Illinois","1257","A5S_Scb_21","Advanced 5 State Scab Trial 2021","RCBD","","","","no","no","2020-September-29","","26","Urbana, IL","282727","P2112","","plot","282803","A5S_Scb_21-rep3-P2112_175","3","3","175","19","3","test","","","","","","","","","","","","15","5","14","142",""
