"","x"
"89","2020-16102"
"90","19-27565"
"91","IL2021-28712"
"92","IL2021-15117"
"93","19-10123"
"94","IL2021-5108"
"95","IL16LCSDH-07-T-2662-202"
"96","IL2021-47142"
"97","19-14845"
"98","2020-6205"
"99","IL2021-36725"
"100","IL2021-40648"
"101","IL2021-17213"
"102","IL2021-43257"
"103","IL16LCSDH-09-T-2664-43"
"104","IL2021-37737"
"105","IL16LCSDH-04-T-2659-3"
"106","IL2021-43865"
"107","17-17739"
"108","IL16LCSDH-09-T-2664-30"
"109","19-18837"
"110","19-14933"
"111","IL2021-28411"
"112","2020-16035"
"113","IL2021-43938"
"114","2020-9801"
"115","2020-16758"
"116","IL2021-36731"
"117","IL2021-14476"
"118","IL16LCSDH-06-T-2661-228"
"119","IL2021-22113"
"120","IL2021-25339"
"121","IL2021-42618"
"122","19-20348"
"123","IL2021-35723"
"124","IL2021-44031"
"125","19-21760"
"126","19-15327"
"127","IL2021-43926"
"128","IL2021-16820"
"129","IL2021-36639"
"130","IL16LCSDH-07-T-2662-203"
"131","IL2021-39238"
"132","18-842"
"133","IL2021-17845"
"134","IL2021-46035"
"135","2020-14116"
"136","IL2021-40847"
"137","IL2021-24365"
"138","IL2021-40751"
"139","US17-IL-111-005"
"140","IL2021-40317"
"141","IL2021-14320"
"142","2020-2864"
"143","18-22767"
"144","IL2021-34113"
"145","IL16LCSDH-02-T-864-63"
"146","19-3528"
"147","19-18153"
"148","19-22742"
"149","19-12830"
"150","2020-7737"
"151","IL2021-43764"
"152","IL2021-16612"
"153","IL16LCSDH-02-T-864-59"
"154","IL2021-36748"
"155","IL2021-27463"
"156","IL2021-14624"
"157","2020-4907"
"158","19-4014"
"159","IL2021-13723"
"160","IL2021-13707"
"161","19-13942"
"162","IL2021-12314"
"163","IL2021-29116"
"164","IL2021-21560"
"165","IL2021-17621"
"166","19-26709"
"167","IL2021-34245"
"168","19-16129"
"169","16-23972"
"170","IL2021-5070"
"171","IL2021-43970"
"172","IL2021-39615"
"173","IL2021-34203"
"174","IL2021-16676"
"175","IL2021-15207"
"176","IL2021-44026"
"177","US16-IL-064-160"
"178","2020-2101"
"179","IL2021-43877"
"180","IL2021-46132"
"181","US16-IL-063-063"
"182","19-21821"
"183","2020-2010"
"184","2020-16022"
"185","2020-1847"
"186","IL2021-19549"
"187","IL2021-15263"
"188","2020-11422"
"189","19-25126"
"190","19-25245"
"191","IL2021-21969"
"192","IL2021-17409"
"193","IL2021-44661"
"194","IL2021-41349"
"195","IL2021-19404"
"196","IL2021-25528"
"197","IL16LCSDH-06-T-2661-202"
"198","2020-11134"
"199","IL2021-25334"
"200","19-6637"
"201","IL2021-25362"
"202","IL2021-15210"
"203","19-4151"
"204","IL2021-19766"
"205","IL2021-26813"
"206","IL2021-15809"
"207","IL2021-16459"
"208","IL2021-22818"
"209","IL2021-22474"
"210","19-22757"
"211","IL2021-15158"
"212","IL2021-19436"
"213","19-18826"
"214","2020-10630"
"215","IL2021-46563"
"216","19-3510"
"217","US16-IL-062-109"
"218","IL2021-40862"
"219","IL2021-16807"
"220","2020-6254"
"221","IL2021-18172"
"222","19-13414"
"223","IL2021-36418"
"224","IL2021-40641"
"225","IL16LCSDH-01-T-863-32"
"226","IL2021-33161"
"227","IL2021-28373"
"228","16-23941"
"229","19-17662"
"230","US17-IL-111-006"
"231","2020-6435"
"232","IL2021-28708"
"233","IL2021-43932"
"234","US16-IL-062-031"
"235","IL2021-43261"
"236","19-23350"
"237","IL2021-18435"
"238","17-23904"
"239","IL16LCSDH-04-T-2659-212"
"240","19-3269"
"241","IL16LCSDH-10-T-2665-21"
"242","IL2021-31613"
"243","19-23833"
"244","IL2021-27813"
"245","IL2021-26834"
"246","IL2021-35122"
"247","IL2021-46044"
"248","IL2021-17919"
"249","IL2021-27763"
"250","IL2021-11634"
"251","19-8870"
"252","IL2021-15149"
"253","IL2021-14513"
"254","19-5152"
"255","IL2021-22548"
"256","IL16LCSDH-07-T-2662-225"
"257","IL2021-28578"
"258","IL16LCSDH-06-T-2661-19"
"259","IL2021-13513"
"260","2020-7035"
"261","IL2021-16814"
"262","19-13961"
"263","IL2021-39143"
"264","IL2021-39945"
"265","IL2021-17373"
"266","19-13447"
"267","IL2021-43878"
"268","IL2021-28714"
"269","IL2021-43415"
"270","IL2021-39253"
"271","19-16152"
"272","IL2021-41721"
"273","IL2021-24937"
"274","IL2021-46013"
"275","IL2021-24918"
"276","IL2021-46024"
"277","19-13048"
"278","IL2021-40762"
"279","18-26037"
"280","19-21829"
"281","2020-16118"
"282","IL2021-3558"
"283","IL2021-15745"
"284","IL2021-36257"
"285","IL2021-40573"
"286","18-4910"
"287","IL2021-16645"
"288","18-7928"
"289","IL16LCSDH-03-T-865-28"
"290","IL16LCSDH-06-T-2661-12"
"291","IL2021-45957"
"292","IL2021-43963"
"293","IL2021-4856"
"294","IL2021-25359"
"295","18-13765"
"296","IL2021-16576"
"297","IL2021-43962"
"298","2020-11157"
"299","IL2021-22358"
"300","19-3538"
"301","2020-2068"
"302","IL2021-22937"
"303","IL16LCSDH-11-T-2666-206"
"304","IL2021-28535"
"305","19-5632"
"306","07-19334"
"307","IL2021-22621"
"308","19-13936"
"309","IL2021-29003"
"310","2020-8754"
"311","IL16LCSDH-01-T-863-5"
"312","IL2021-17431"
"313","IL2021-45928"
"314","IL2021-1156"
"315","IL2021-26766"
"316","17-8626"
"317","IL2021-21479"
"318","19-18725"
"319","IL2021-43909"
"320","IL2021-28804"
"321","19-20402"
"322","IL2021-41914"
"323","2020-10303"
"324","IL2021-5364"
"325","IL2021-28811"
"326","IL2021-40733"
"327","IL2021-44565"
"328","IL2021-17475"
"329","2020-10435"
"330","2020-13967"
"331","IL2021-43316"
"332","IL2021-14779"
"333","2020-5361"
"334","IL2021-16544"
"335","2020-5416"
"336","19-8871"
"337","IL2021-38714"
"338","19-25469"
"339","IL2021-28678"
"340","19-12615"
"341","19-15330"
"342","IL2021-43913"
"343","IL2021-20345"
"344","19-15017"
"345","IL16LCSDH-07-T-2662-201"
"346","2020-5545"
"347","2020-8648"
"348","IL2021-33678"
"349","2020-40034"
"350","IL2021-43205"
"351","18-15372"
"352","IL2021-41430"
"353","2020-15726"
"354","IL2021-33852"
"355","US16-IL-061-068"
"356","IL2021-45901"
"357","2020-10322"
"358","IL2021-21674"
"359","IL2021-25226"
"360","IL2021-19718"
"361","2020-16727"
"362","19-14605"
"363","IL2021-2869"
"364","IL2021-15944"
"365","IL2021-758"
"366","2020-1511"
"367","IL2021-28826"
"368","IL2021-29071"
"369","19-13713"
"370","19-19205"
"371","19-23251"
"372","IL16LCSDH-03-T-865-46"
"373","IL2021-46428"
"374","IL2021-19708"
"375","IL2021-44542"
"376","19-21467"
"377","18-6852"
"378","IL2021-45638"
"379","19-24061"
"380","18-17905"
"381","2020-7369"
"382","IL2021-10969"
"383","IL2021-13728"
"384","19-5122"
"385","19-17546"
"386","IL2021-42343"
"387","2020-6171"
"388","IL16LCSDH-01-T-863-87"
"389","IL2021-44064"
"390","19-16856"
"391","IL2021-25629"
"392","IL16LCSDH-01-T-863-6"
"393","IL2021-46857"
"394","IL2021-14267"
"395","IL2021-30029"
"396","IL2021-7562"
"397","2020-10278"
"398","IL2021-15104"
"399","2020-7719"
"400","IL2021-10963"
"401","IL2021-17752"
"402","IL2021-19438"
"403","2020-571"
"404","IL2021-42346"
"405","18-5737"
"406","IL2021-9529"
"407","IL2021-24426"
"408","19-22105"
"409","IL2021-15175"
"410","2020-16145"
"411","2020-16641"
"412","IL2021-29023"
"413","19-23336"
"414","17-23874"
"415","IL2021-46002"
"416","2020-10275"
"417","18-12756"
"418","IL2021-33933"
"419","2020-17118"
"420","19-18156"
"421","IL2021-45561"
"422","IL2021-16772"
"423","IL2021-13605"
"424","IL2021-11772"
"425","US16-IL-061-032"
"426","2020-9856"
"427","IL2021-46908"
"428","IL2021-44433"
"429","IL2021-8729"
"430","IL2021-40301"
"431","18-23760"
"432","IL2021-19166"
"433","IL2021-42522"
"434","IL16LCSDH-10-T-2665-22"
"435","19-12926"
"436","2020-13001"
"437","IL16LCSDH-07-T-2662-22"
"438","IL2021-26829"
"439","19-25764"
"440","IL2021-19736"
"441","19-19146"
"442","IL2021-46822"
"443","IL16LCSDH-01-T-863-63"
"444","IL2021-21708"
"445","2020-2749"
"446","IL2021-38976"
"447","18-22976"
"448","18-6274"
"449","IL2021-40865"
"450","IL16LCSDH-06-T-2661-52"
"451","IL16LCSDH-04-T-2659-232"
"452","IL2021-27612"
"453","19-3943"
"454","IL2021-41976"
"455","IL2021-18220"
"456","US16-IL-063-026"
"457","IL2021-46907"
"458","2020-7024"
"459","19-5466"
"460","2020-2330"
"461","2020-17017"
"462","IL2021-17972"
"463","IL2021-29011"
"464","IL2021-45202"
"465","2020-13739"
"466","IL2021-28071"
"467","IL2021-12636"
"468","2020-7021"
"469","IL2021-28374"
"470","IL2021-3567"
"471","IL2021-17838"
"472","IL2021-12322"
"473","IL16LCSDH-06-T-2661-212"
"474","IL2021-41350"
"475","19-23855"
"476","2020-2037"
"477","IL2021-42056"
"478","IL2021-23158"
"479","IL16LCSDH-11-T-2666-212"
"480","2020-2770"
"481","19-21865"
"482","IL2021-36469"
"483","19-18957"
"484","2020-2032"
"485","2020-13814"
"486","2020-11841"
"487","IL2021-16330"
"488","19-18152"
"489","19-6946"
"490","IL2021-14567"
"491","18-22132"
"492","2020-1956"
"493","19-27478"
"494","18-13748"
"495","IL2021-34018"
"496","IL2021-17866"
"497","IL16LCSDH-02-T-864-6"
"498","IL2021-8812"
"499","IL2021-35449"
"500","IL2021-17103"
"501","IL2021-13734"
"502","IL2021-15070"
"503","IL2021-16473"
"504","IL2021-27113"
"505","18-12001"
"506","18-23224"
"507","IL2021-27036"
"508","IL2021-22262"
"509","IL2021-12550"
"510","IL2021-45951"
"511","IL2021-22478"
"512","IL2021-26330"
"513","IL2021-38661"
"514","IL2021-34213"
"515","IL2021-36466"
"516","IL2021-40626"
"517","2020-15429"
"518","2020-11426"
"519","IL2021-39857"
"520","19-24051"
"521","2020-2318"
"522","IL2021-29107"
"523","IL2021-32929"
"524","19-12659"
"525","IL2021-22019"
"526","19-4176"
"527","IL2021-19241"
"528","IL2021-21218"
"529","IL2021-44623"
"530","IL2021-42959"
"531","IL2021-24847"
"532","IL2021-17859"
"533","IL2021-29134"
"534","IL2021-21471"
"535","IL2021-38662"
"536","IL2021-8749"
"537","IL2021-5065"
"538","IL2021-40427"
"539","IL2021-1444"
"540","IL2021-28405"
"541","IL2021-42115"
"542","US17-IL-108-039"
"543","IL2021-18501"
"544","2020-3607"
"545","19-27466"
"546","2020-9168"
"547","IL2021-7231"
"548","IL2021-42149"
"549","IL2021-25425"
"550","IL2021-26316"
"551","IL2021-23566"
"552","IL2021-6525"
"553","2020-17006"
"554","IL16LCSDH-11-T-2666-208"
"555","IL2021-17961"
"556","19-11770"
"557","IL2021-27644"
"558","IL2021-45117"
"559","IL2021-26949"
"560","IL2021-13844"
"561","IL2021-46233"
"562","IL2021-33409"
"563","2020-5827"
"564","IL2021-29119"
"565","2020-8628"
"566","IL2021-43973"
"567","19-11773"
"568","IL2021-17773"
"569","IL2021-22350"
"570","IL16LCSDH-10-T-2665-54"
"571","IL2021-25152"
"572","IL2021-15029"
"573","2020-16228"
"574","IL2021-45701"
"575","2020-9945"
"576","2020-10415"
"577","IL2021-46166"
"578","19-21924"
"579","19-18157"
"580","IL2021-22464"
"581","2020-13145"
"582","IL2021-23767"
"583","2020-7954"
"584","IL2021-11573"
"585","IL2021-16452"
"586","2020-5533"
"587","19-16279"
"588","IL2021-11217"
"589","IL2021-27918"
"590","IL2021-46007"
"591","IL16LCSDH-01-T-863-52"
"592","2020-6116"
"593","IL2021-31572"
"594","IL2021-17968"
"595","IL2021-6868"
"596","IL2021-43341"
"597","IL2021-30022"
"598","IL2021-17857"
"599","IL2021-22719"
"600","IL2021-28074"
"601","IL2021-14673"
"602","IL2021-28923"
"603","2020-1862"
"604","IL2021-30622"
"605","IL2021-19253"
"606","IL16LCSDH-06-T-2661-206"
"607","19-17823"
"608","IL16LCSDH-07-T-2662-31"
"609","IL16LCSDH-04-T-2659-225"
"610","IL2021-43732"
"611","IL2021-4851"
"612","2020-13011"
"613","IL2021-43809"
"614","IL2021-36658"
"615","2020-14337"
"616","IL2021-5066"
"617","IL2021-35538"
"618","2020-5250"
"619","IL2021-11821"
"620","IL2021-18531"
"621","IL2021-43345"
"622","IL2021-18365"
"623","IL2021-25979"
"624","IL2021-30208"
"625","IL2021-43916"
"626","IL2021-46057"
"627","2020-9376"
"628","19-4238"
"629","IL2021-15050"
"630","2020-12665"
"631","IL2021-11107"
"632","IL2021-27659"
"633","IL2021-47133"
"634","IL2021-5047"
"635","IL2021-22459"
"636","IL2021-21718"
"637","IL2021-19545"
"638","IL2021-28478"
"639","IL2021-16572"
"640","19-3502"
"641","IL2021-15432"
"642","IL2021-8733"
"643","IL2021-15177"
"644","IL2021-22411"
"645","IL2021-40753"
"646","IL2021-3018"
"647","IL2021-40873"
"648","IL2021-6854"
"649","IL16LCSDH-02-T-864-38"
"650","2020-7877"
"651","IL2021-25607"
"652","IL2021-33277"
"653","19-13451"
"654","2020-16521"
"655","19-20069"
"656","19-16176"
"657","IL16LCSDH-10-T-2665-20"
"658","IL2021-40042"
"659","IL2021-21356"
"660","2020-6415"
"661","IL16LCSDH-06-T-2661-9"
"662","19-25464"
"663","IL16LCSDH-10-T-2665-52"
"664","IL2021-34910"
"665","2020-3530"
"666","IL2021-32554"
"667","IL2021-5753"
"668","IL2021-46237"
"669","IL2021-19949"
"670","IL2021-42132"
"671","IL2021-24110"
"672","IL2021-41727"
"673","IL2021-41344"
"674","2020-1919"
"675","IL16LCSDH-07-T-2662-47"
"676","IL2021-26632"
"677","IL2021-21737"
"678","IL2021-21665"
"679","19-16142"
"680","2020-6010"
"681","IL2021-18638"
"682","IL2021-18165"
"683","IL16LCSDH-07-T-2662-241"
"684","IL2021-39959"
"685","19-24076"
"686","IL2021-25121"
"687","IL2021-21655"
"688","IL16LCSDH-01-T-863-69"
"689","IL16LCSDH-01-T-863-92"
"690","IL2021-40002"
"691","2020-6633"
"692","IL2021-33673"
"693","IL2021-25522"
"694","IL2021-29438"
"695","2020-9638"
"696","2020-10001"
"697","19-12420"
"698","19-20648"
"699","2020-6909"
"700","US17-IL-108-070"
"701","IL2021-17958"
"702","IL2021-21732"
"703","IL2021-18265"
"704","2020-1643"
"705","IL2021-24320"
"706","IL2021-2269"
"707","2020-9828"
"708","IL2021-5861"
"709","18-5837"
"710","IL2021-18313"
"711","2020-17132"
"712","2020-2310"
"713","2020-10026"
"714","IL2021-33861"
"715","IL2021-44011"
"716","IL16LCSDH-04-T-2659-207"
"717","IL2021-35704"
"718","IL2021-44653"
"719","IL2021-7259"
"720","IL2021-26068"
"721","IL2021-47141"
"722","IL2021-8249"
"723","IL2021-21416"
"724","IL2021-29638"
"725","IL2021-45214"
"726","IL2021-7017"
"727","IL2021-11252"
"728","IL2021-3563"
"729","IL2021-4312"
"730","IL2021-46245"
"731","2020-17458"
"732","IL2021-37545"
"733","2020-11167"
"734","2020-6154"
"735","2020-6117"
"736","2020-10050"
"737","IL2021-40807"
"738","IL2021-1571"
"739","IL2021-27375"
"740","IL2021-46634"
"741","19-10151"
"742","IL2021-41921"
"743","IL2021-42120"
"744","IL2021-13764"
"745","IL2021-39943"
"746","IL2021-41437"
"747","19-21652"
"748","IL2021-16334"
"749","18-12809"
"750","2020-1362"
"751","19-13706"
"752","IL2021-14749"
"753","IL2021-47156"
"754","IL2021-29865"
"755","IL2021-36737"
"756","IL2021-39812"
"757","IL2021-16212"
"758","IL2021-14041"
"759","2020-5369"
"760","IL2021-16038"
"761","19-8909"
"762","IL2021-5101"
"763","2020-6453"
"764","2020-10038"
"765","IL2021-28973"
"766","19-16325"
"767","2020-3234"
"768","IL2021-45962"
"769","IL2021-43920"
"770","18-9724"
"771","IL2021-11441"
"772","2020-8608"
"773","IL2021-15228"
"774","IL2021-5021"
"775","IL2021-27349"
"776","2020-1761"
"777","IL2021-5367"
"778","IL2021-5833"
"779","IL2021-18153"
"780","IL2021-27960"
"781","IL2021-18425"
"782","IL2021-39424"
"783","IL2021-18468"
"784","IL2021-40662"
"785","2020-12650"
"786","2020-5871"
"787","IL2021-26762"
"788","2020-4951"
"789","IL2021-42360"
"790","IL16LCSDH-11-T-2666-220"
"791","IL2021-43313"
"792","IL2021-28549"
"793","19-16368"
"794","IL2021-28970"
"795","19-21846"
"796","IL2021-26252"
"797","19-26456"
"798","19-8449"
"799","18-13852"
"800","IL16LCSDH-03-T-865-36"
"801","IL2021-28768"
"802","IL2021-43833"
"803","2020-2335"
"804","IL2021-11939"
"805","IL2021-42064"
"806","IL2021-19676"
"807","2020-15403"
"808","IL2021-28068"
"809","19-10142"
"810","IL2021-15778"
"811","IL2021-30265"
"812","19-3505"
"813","2020-2615"
"814","IL2021-39325"
"815","18-7943"
"816","IL2021-15138"
"817","IL2021-42072"
"818","IL2021-41718"
"819","IL2021-23464"
"820","IL2021-47071"
"821","IL2021-22754"
"822","IL2021-29002"
"823","IL2021-24241"
"824","IL2021-18225"
"825","2020-3744"
"826","IL2021-47227"
"827","IL2021-29465"
"828","IL2021-31619"
"829","IL2021-29977"
"830","19-13707"
"831","IL2021-6811"
"832","IL2021-5120"
"833","IL2021-1776"
"834","IL2021-26952"
"835","IL2021-7550"
"836","IL2021-17863"
"837","2020-10222"
"838","IL2021-3978"
"839","IL2021-3407"
"840","2020-10023"
"841","2020-17110"
"842","IL2021-41321"
"843","2020-10267"
"844","IL2021-9334"
"845","IL2021-41716"
"846","IL2021-30869"
"847","IL2021-6522"
"848","IL2021-35649"
"849","IL2021-43334"
"850","19-17051"
"851","IL16LCSDH-02-T-864-5"
"852","IL2021-17848"
"853","IL2021-43966"
"854","IL2021-32720"
"855","IL2021-46009"
"856","IL2021-1768"
"857","19-6308"
"858","IL2021-6771"
"859","19-20337"
"860","IL2021-15939"
"861","IL2021-29568"
"862","2020-4878"
"863","IL2021-6855"
"864","2020-16637"
"865","18-13756"
"866","IL16LCSDH-02-T-864-54"
"867","IL16LCSDH-06-T-2661-39"
"868","IL2021-27103"
"869","IL2021-32845"
"870","IL2021-15714"
"871","IL2021-46909"
"872","IL2021-34823"
"873","IL2021-18546"
"874","IL2021-43305"
"875","IL2021-27328"
"876","18-17119"
"877","IL2021-29337"
"878","IL16LCSDH-03-T-865-39"
"879","19-25743"
"880","IL2021-26357"
"881","IL2021-28402"
"882","IL2021-34207"
"883","IL2021-29823"
"884","IL2021-18549"
"885","IL16LCSDH-06-T-2661-231"
"886","IL2021-21622"
"887","IL2021-27928"
"888","IL2021-16041"
"889","IL2021-14773"
"890","IL2021-44537"
"891","IL2021-43225"
"892","IL16LCSDH-01-T-863-72"
"893","IL2021-43404"
"894","IL2021-15706"
"895","IL2021-7948"
"896","IL2021-16272"
"897","IL2021-25721"
"898","IL16LCSDH-05-T-2660-3"
"899","IL2021-1828"
"900","IL2021-47145"
"901","IL2021-43370"
"902","IL2021-43972"
"903","IL2021-36570"
"904","IL2021-45914"
"905","19-10168"
"906","IL2021-21815"
"907","IL2021-15215"
"908","IL2021-24872"
"909","IL2021-41319"
"910","IL2021-43960"
"911","IL2021-1163"
"912","IL2021-27461"
"913","2020-7535"
"914","IL2021-40869"
"915","IL2021-7837"
"916","IL2021-15749"
"917","2020-17154"
"918","2020-5238"
"919","IL2021-16043"
"920","19-9608"
"921","IL2021-3906"
"922","IL2021-6846"
"923","IL2021-46641"
"924","IL2021-7568"
"925","2020-15209"
"926","IL2021-36866"
"927","2020-15438"
"928","IL2021-47147"
"929","IL2021-31405"
"930","IL2021-7015"
"931","IL2021-34815"
"932","IL2021-43862"
"933","2020-1865"
"934","19-13434"
"935","IL2021-42001"
"936","IL2021-13768"
"937","IL2021-29630"
"938","IL2021-25879"
"939","2020-8922"
"940","IL16LCSDH-04-T-2659-231"
"941","2020-13527"
"942","2020-3614"
"943","IL2021-24655"
"944","18-13965"
"945","IL2021-21606"
"946","IL16LCSDH-06-T-2661-234"
"947","2020-5308"
"948","2020-1842"
"949","2020-1578"
"950","IL2021-17568"
"951","IL2021-43810"
"952","IL16LCSDH-04-T-2659-8"
"953","17-8930"
"954","17-8930"
"955","2020-17445"
"956","IL2021-18543"
"957","IL2021-28249"
"958","2020-13223"
"959","IL2021-18141"
"960","2020-15961"
"961","IL2021-47168"
"962","IL2021-19352"
"963","IL2021-24129"
"964","IL2021-26303"
"965","2020-4869"
"966","2020-10325"
"967","2020-3205"
"968","IL2021-6648"
"969","IL2021-20207"
"970","IL2021-35076"
"971","IL2021-43669"
"972","IL2021-47050"
"973","IL16LCSDH-02-T-864-29"
"974","IL2021-39956"
"975","19-25145"
"976","IL2021-46249"
"977","IL2021-24255"
"978","IL2021-13877"
"979","IL2021-34163"
"980","IL2021-44007"
"981","IL2021-43324"
"982","IL2021-28806"
"983","IL2021-43647"
"984","IL2021-827"
"985","IL2021-40910"
"986","IL16LCSDH-04-T-2659-23"
"987","2020-17565"
"988","19-10136"
"989","IL2021-9345"
"990","IL2021-17043"
"991","IL16LCSDH-10-T-2665-42"
"992","IL2021-25905"
"993","IL2021-40765"
"994","19-5041"
"995","IL2021-21630"
"996","IL2021-8804"
"997","IL2021-22646"
"998","IL2021-25853"
"999","2020-2403"
"1000","IL2021-4033"
"1001","IL2021-25858"
"1002","IL2021-16742"
"1003","IL2021-4765"
"1004","IL2021-30255"
"1005","IL2021-15823"
"1006","IL2021-15967"
"1007","IL2021-26308"
"1008","IL2021-29842"
"1009","IL16LCSDH-04-T-2659-20"
"1010","2020-15810"
"1011","IL2021-8465"
"1012","2020-6103"
"1013","2020-16902"
"1014","19-19159"
"1015","2020-9818"
"1016","IL2021-38609"
"1017","IL2021-44721"
"1018","IL2021-46242"
"1019","IL2021-47165"
"1020","19-21574"
"1021","2020-14872"
"1022","IL2021-41433"
"1023","IL2021-34101"
"1024","IL2021-26266"
"1025","IL2021-45221"
"1026","IL2021-13758"
"1027","IL2021-6042"
"1028","IL2021-30867"
"1029","IL2021-27134"
"1030","IL16LCSDH-01-T-863-121"
"1031","IL2021-34722"
"1032","IL2021-25157"
"1033","IL16LCSDH-07-T-2662-237"
"1034","IL2021-1405"
"1035","IL2021-5009"
"1036","IL2021-7549"
"1037","2020-7415"
"1038","19-10236"
"1039","2020-1314"
"1040","19-10173"
"1041","IL2021-26755"
"1042","IL2021-15748"
"1043","IL2021-47108"
"1044","19-18832"
"1045","IL2021-5728"
"1046","2020-15478"
"1047","IL2021-40967"
"1048","IL2021-36549"
"1049","19-13752"
"1050","IL2021-41221"
"1051","IL2021-31473"
"1052","IL2021-29623"
"1053","IL2021-41207"
"1054","IL2021-45950"
"1055","IL2021-18320"
"1056","IL2021-14337"
"1057","IL2021-17949"
"1058","IL2021-13851"
"1059","IL2021-6925"
"1060","IL2021-26865"
"1061","IL2021-43231"
"1062","IL2021-42041"
"1063","IL2021-19215"
"1064","IL2021-2244"
"1065","2020-15348"
"1066","IL16LCSDH-03-T-865-65"
"1067","IL2021-2314"
"1068","IL2021-11225"
"1069","IL2021-11374"
"1070","IL2021-8279"
"1071","IL2021-39673"
"1072","IL2021-3829"
"1073","IL2021-11039"
"1074","IL2021-26255"
"1075","IL16LCSDH-03-T-865-40"
"1076","IL2021-4314"
"1077","IL2021-40761"
"1078","IL2021-24839"
"1079","IL16LCSDH-01-T-863-10"
"1080","IL2021-35645"
"1081","IL2021-35732"
"1082","IL2021-20960"
"1083","IL16LCSDH-07-T-2662-23"
"1084","IL2021-36708"
"1085","IL2021-29622"
"1086","2020-13710"
"1087","IL2021-15933"
"1088","2020-2775"
"1089","IL2021-26561"
"1090","IL2021-26002"
"1091","2020-1739"
"1092","19-13748"
"1093","18-16828"
"1094","IL2021-26173"
"1095","IL2021-46626"
"1096","19-5009"
"1097","IL2021-22715"
"1098","IL2021-39462"
"1099","IL16LCSDH-06-T-2661-21"
"1100","IL2021-40930"
"1101","IL2021-11020"
"1102","IL2021-4265"
"1103","IL2021-36161"
"1104","IL2021-29730"
"1105","IL2021-9275"
"1106","IL2021-8251"
"1107","IL2021-7959"
"1108","IL2021-33722"
"1109","IL2021-45112"
"1110","IL2021-8477"
"1111","IL2021-16567"
"1112","IL2021-16151"
"1113","2020-11551"
"1114","2020-850"
"1115","2020-16301"
"1116","IL2021-8258"
"1117","2020-6223"
"1118","IL2021-15047"
"1119","IL2021-6804"
"1120","IL2021-26754"
"1121","IL2021-15734"
"1122","2020-13707"
"1123","IL2021-26260"
"1124","IL2021-35661"
"1125","IL2021-30449"
"1126","IL2021-29030"
"1127","IL2021-26311"
"1128","2020-15546"
"1129","IL2021-27845"
"1130","IL2021-41972"
"1131","IL2021-42067"
"1132","IL2021-5801"
"1133","IL2021-40858"
"1134","IL2021-7037"
"1135","2020-14253"
"1136","IL2021-22708"
"1137","IL2021-29351"
"1138","2020-15423"
"1139","2020-12226"
"1140","IL2021-33141"
"1141","IL2021-30331"
"1142","2020-17163"
"1143","IL2021-6853"
"1144","IL2021-11322"
"1145","IL2021-41011"
"1146","IL2021-26932"
"1147","IL2021-35763"
"1148","IL2021-29441"
"1149","IL2021-29318"
"1150","IL16LCSDH-07-T-2662-21"
"1151","IL2021-19661"
"1152","IL2021-26916"
