,germplasmme,War_22,Add_22,Blk_22,Stp_22,Neo_22,Urb_22,yield_factor_analytic,Seed source 2021,S600.range,S600.row,plot_name,Weight,Moisture,Test weight,Quick note,Harvest.Sequence.,action,Found
28,IL16LCSDH-04-T-2659-225,87.98,73.45,91.81,93,102.87,103.31,92.07,DH_Urb_21-plot1418,,,,,,,,,,
29,IL16LCSDH-06-T-2661-206,77.56,72.92,91.38,101.55,101.7,107.12,92.04,DH_Urb_21-plot1509,,,,,,,,,,
30,IL16LCSDH-01-T-863-58,76.13,72.97,88.69,99.98,105.59,108.76,92.02,DH_Urb_21-plot106,,,,,,,,,,
31,IL16LCSDH-09-T-2664-43,76.7,71.16,92.31,96.32,106.96,108.28,91.96,DH_Urb_21-plot1019,,,,,,,,,,
32,2020-13967,73.43,74.59,89.44,98.44,105.16,109.65,91.78,Aug_Urb_21-plot6412,23,6,SI_Urb_22-158,7.03,11.3,59.2,,323,KEEP,TRUE
33,2020-16727,71.19,71.31,88.58,104.71,105.8,108.38,91.66,Aug_Urb_21-plot7912,13,7,SI_Urb_22-193,7.9,11.4,59,,373,KEEP,TRUE
34,IL16LCSDH-10-T-2665-41,68.73,72.3,90.22,100.84,105.13,112.07,91.55,DH_Urb_21-plot1208,,,,,,,,,,
,Pio 25R74,79.52,74.42,89.13,96.96,104.94,103.47,91.41,Checks,,,,,,,,,,
35,IL16LCSDH-07-T-2662-203,78.89,75.54,86.29,100.8,100.92,103.77,91.03,DH_Urb_21-plot1608,,,,,,,,,,
36,2020-2334,71.59,74.05,88.17,101.65,103.71,106.96,91.02,Aug_Urb_21-plot1207,27,2,SI_Urb_22-34,7.42,11.7,60.9,,87,KEEP,TRUE
37,IL16LCSDH-04-T-2659-20,92.22,71.63,90.37,91.81,98.55,101.25,90.97,DH_Urb_21-plot514,,,,,,,,,,
38,IL16LCSDH-07-T-2662-225,81.81,72.77,88.42,96.42,101.31,104.87,90.93,DH_Urb_21-plot1618,,,,,,,,,,
39,2020-9801,72.48,74.97,88.42,98.18,103.38,107.5,90.82,Aug_Urb_21-plot4701,12,4,SI_Urb_22-109,7.95,11.6,61.6,,192,KEEP,TRUE
40,2020-11422,75.2,77.17,89.22,93.23,105.25,104.19,90.71,Aug_Urb_21-plot5507,14,5,SI_Urb_22-134,6.76,11.6,60.1,,254,KEEP,TRUE
41,IL16LCSDH-11-T-2666-206,83.42,72.07,83.39,94.51,105.17,105.2,90.63,DH_Urb_21-plot1714,,,,,,,,,,
42,IL16LCSDH-09-T-2664-18,68.15,70.79,87.21,101.19,106.51,109.95,90.63,DH_Urb_21-plot1006,,,,,,,,,,
43,IL16LCSDH-10-T-2665-22,71.55,72.56,87.13,102.5,101.88,108.07,90.61,DH_Urb_21-plot1115,,,,,,,,,,
44,2020-2864,72.92,74.97,88.42,97.45,104.09,105.79,90.61,Aug_Urb_21-plot1510,20,2,SI_Urb_22-41,5.71,11.7,60.1,,80,KEEP,TRUE
45,2020-6254,72.09,74.82,88.15,98.26,102.86,107.45,90.61,Aug_Urb_21-plot3209,19,3,SI_Urb_22-79,5.88,11.6,60.5,,139,KEEP,TRUE
46,2020-6205,71.96,76.05,87.89,99.85,102.53,105.26,90.59,Aug_Urb_21-plot3202,17,3,SI_Urb_22-77,6.34,12,61.4,,137,KEEP,TRUE
47,2020-2010,72.89,77.23,88.23,97.06,102.32,105.76,90.58,Aug_Urb_21-plot1007,25,1,SI_Urb_22-25,7.37,11.4,62,,25,KEEP,TRUE
48,IL16LCSDH-06-T-2661-39,84.2,71.11,88.14,93.62,100.84,105.06,90.5,DH2_Urb_21-plot507,,,,,,,,,,
49,IL16LCSDH-04-T-2659-8,92.35,75.35,86.47,91.08,95.73,100.66,90.27,DH_Urb_21-plot507,,,,,,,,,,
50,IL16LCSDH-04-T-2659-232,75.41,70.89,91.85,96.34,102.05,104.72,90.21,DH_Urb_21-plot1502,,,,,,,,,,
51,2020-17132,72.52,75.27,87.88,95.83,102.69,105.51,89.95,Aug_Urb_21-plot8209,22,7,SI_Urb_22-202,6.88,11.4,59.5,,382,KEEP,TRUE
52,IL16LCSDH-02-T-864-59,70.81,75.02,88.67,97.45,101.89,105.37,89.87,DH_Urb_21-plot407,,,,,,,,,,
53,2020-6435,70.31,72.28,87.08,99.94,102.22,106.59,89.74,Aug_Urb_21-plot3216,22,3,SI_Urb_22-82,6.12,11.9,61.3,,142,KEEP,TRUE
54,2020-17118,70.34,71.62,87.09,100.04,102.82,106.15,89.68,Aug_Urb_21-plot8204,21,7,SI_Urb_22-201,6.81,11.5,59.2,,381,KEEP,TRUE
55,2020-17555,69.93,71.6,87.03,99.27,101.6,108.62,89.67,Aug_Urb_21-plot8513,30,7,SI_Urb_22-210,6.58,11.2,60.8,,390,KEEP,TRUE
56,2020-13902,70.29,73.11,86.9,99.86,101.66,105.72,89.59,Aug_Urb_21-plot6407,24,6,SI_Urb_22-157,7.03,11.6,60.1,,324,KEEP,TRUE
57,2020-10435,71.63,72.51,87.58,95.05,102.6,107.72,89.52,Aug_Urb_21-plot5117,8,5,SI_Urb_22-128,8.01,11.4,61.3,,248,KEEP,TRUE
58,2020-7737,71.15,75.57,86.95,98.6,101.25,103.48,89.5,Aug_Urb_21-plot3903,28,4,SI_Urb_22-93,7.45,11.4,61.8,,208,KEEP,TRUE
59,2020-11157,70.76,75.08,86.91,97.98,100.46,105.73,89.49,Aug_Urb_21-plot5407,12,5,SI_Urb_22-132,8.16,11.5,60.8,,252,KEEP,TRUE
60,2020-16035,71.24,72.82,87.16,97.45,102.82,104.65,89.36,Aug_Urb_21-plot7502,3,7,SI_Urb_22-183,8.34,11.2,61.1,,363,KEEP,TRUE
61,IL16LCSDH-06-T-2661-12,72.05,70.37,84.91,99.84,101.52,107.33,89.34,DH_Urb_21-plot612,,,,,,,,,,
62,2020-9376,72.27,75.89,87.2,95.41,102,102.41,89.2,Aug_Urb_21-plot4510,14,4,SI_Urb_22-107,6.71,11.7,59.4,,194,KEEP,TRUE
63,IL16LCSDH-04-T-2659-212,75.57,70.77,84.04,96.9,101.66,106.2,89.19,DH_Urb_21-plot1409,,,,,,,,,,
64,2020-3744,71.92,77.99,86.92,95.24,99.81,103.07,89.16,Aug_Urb_21-plot1901,13,2,SI_Urb_22-48,7.03,11.6,58,,73,KEEP,TRUE
65,2020-40034,70.98,74.57,86.84,96.69,100.87,104.96,89.15,Aug_Urb_21-plot4815,29,8,SI_Urb_22-212,7.65,11.3,61.3,,449,KEEP,TRUE
66,2020-10322,69.74,68.91,86.78,99.14,103.31,106.88,89.13,Aug_Urb_21-plot5109,5,5,SI_Urb_22-125,7.55,11.6,59.1,,245,KEEP,TRUE
67,2020-13739,71.81,75.19,87.04,96.11,101.91,102.73,89.13,Aug_Urb_21-plot6312,26,6,SI_Urb_22-155,7.31,11.8,59.7,,326,KEEP,TRUE
68,2020-12650,73.48,75.12,87.7,91.47,103.3,102.87,88.99,Aug_Urb_21-plot5904,23,5,SI_Urb_22-143,6.28,11.7,58,,263,KEEP,TRUE
69,2020-13001,71.37,75.05,86.86,95.52,100.89,104.26,88.99,Aug_Urb_21-plot6005,26,5,SI_Urb_22-146,7.41,11.5,60.9,,266,KEEP,TRUE
70,2020-7719,71.35,74.99,86.85,94.83,100.6,104.87,88.91,Aug_Urb_21-plot3901,29,4,SI_Urb_22-92,7.36,11.8,60.9,,209,KEEP,TRUE
71,2020-15726,71.15,72.22,86.97,95.41,102.34,105.33,88.9,Aug_Urb_21-plot7310,3,6,SI_Urb_22-178,8.07,11.7,60.9,,303,KEEP,TRUE
72,IL16LCSDH-01-T-863-10,80.18,68.15,84.61,98.11,99.34,102.92,88.89,DH2_Urb_21-plot107,,,,,,,,,,
73,2020-7917,72.59,75.81,87.14,93.65,102.1,101.8,88.85,Aug_Urb_21-plot3919,25,4,SI_Urb_22-96,6.92,11.5,63.1,,205,KEEP,TRUE
74,2020-9945,70.98,72.76,86.77,96.28,102.08,104.15,88.84,Aug_Urb_21-plot4720,8,4,SI_Urb_22-113,7.28,11.5,61.7,,188,KEEP,TRUE
75,2020-10303,71.06,72.96,86.85,94.83,101.43,105.71,88.81,Aug_Urb_21-plot5103,4,5,SI_Urb_22-124,7.68,11.7,62.5,,244,KEEP,TRUE
76,2020-16102,69.64,72.41,86.24,98.42,100.6,105.36,88.78,Aug_Urb_21-plot7508,4,7,SI_Urb_22-184,6.88,11.4,61,,364,KEEP,TRUE
77,2020-10415,68.83,68.35,86.3,98.79,101.88,108.27,88.74,Aug_Urb_21-plot5114,7,5,SI_Urb_22-127,7.2,11.3,60.9,,247,KEEP,TRUE
78,IL16LCSDH-07-T-2662-241,75.62,71.8,86.91,94.02,101.38,102.47,88.7,DH_Urb_21-plot1705,,,,,,,,,,
79,19-3269,70.01,74,86.17,97.91,100.11,103.88,88.68,Aug_Urb_20-plot215,,,,,,,,,,
80,2020-11426,70.61,73.44,86.52,95.59,100.64,105.12,88.65,Aug_Urb_21-plot5508,15,5,SI_Urb_22-135,7.63,11.5,60.9,,255,KEEP,TRUE
81,2020-12665,72.16,76.12,86.92,92.65,100.65,103.38,88.65,Aug_Urb_21-plot5908,24,5,SI_Urb_22-144,6.93,11.6,61.2,,264,KEEP,TRUE
82,2020-7021,70.98,75.28,86.34,95.89,100.4,102.2,88.52,Aug_Urb_21-plot3508,26,3,SI_Urb_22-86,7.09,11.9,60.3,,146,KEEP,TRUE
83,2020-2101,72.43,77.19,86.7,93.36,100.95,100.11,88.46,Aug_Urb_21-plot1105,30,1,SI_Urb_22-30,4.46,12.1,60.4,10% cut,30,KEEP,TRUE
84,2020-1842,69.32,71.9,85.86,99.05,100.82,103.44,88.4,Aug_Urb_21-plot910,18,1,SI_Urb_22-18,4.07,0,0,,18,KEEP,TRUE
85,2020-10630,72.5,77.01,86.74,92.34,100.78,100.88,88.38,Aug_Urb_21-plot5212,10,5,SI_Urb_22-130,7.33,11.4,62.9,,250,KEEP,TRUE
86,2020-16022,70.43,74.91,86.12,95.9,99.6,103.34,88.38,Aug_Urb_21-plot7418,2,7,SI_Urb_22-182,7.21,11.1,61.2,,362,KEEP,TRUE
87,2020-6117,70.85,72.71,86.47,94.41,101.26,104.27,88.33,Aug_Urb_21-plot3109,12,3,SI_Urb_22-72,7.52,12,58.8,,132,KEEP,TRUE
88,2020-2749,71.3,74.57,86.43,93.91,100.74,102.66,88.27,Aug_Urb_21-plot1414,23,2,SI_Urb_22-38,6.74,11.5,62.9,,83,KEEP,TRUE
89,2020-10275,70.37,71.82,86.37,94.34,100.89,105.8,88.26,Aug_Urb_21-plot5019,2,5,SI_Urb_22-122,7.28,11.6,60.1,,242,KEEP,TRUE
90,2020-10001,71.11,75.29,86.27,94.39,100.09,102.36,88.25,Aug_Urb_21-plot4808,7,4,SI_Urb_22-114,7.19,11.4,62.2,,187,KEEP,TRUE
91,2020-5416,70.88,75.84,86.08,94.19,99.22,102.56,88.13,Aug_Urb_21-plot2811,3,3,SI_Urb_22-63,7.95,11.3,62.2,,123,KEEP,TRUE
92,2020-1761,70.84,75.04,86.14,94.06,99.63,103.04,88.12,Aug_Urb_21-plot820,17,1,SI_Urb_22-17,4.44,12,60,,17,KEEP,TRUE
93,2020-8648,70.28,76.22,85.76,95.5,98.39,102.33,88.08,Aug_Urb_21-plot4202,20,4,SI_Urb_22-101,5.94,11.8,60.8,,200,KEEP,TRUE
94,2020-571,70.34,72.9,86.02,94.99,100.56,103.18,88,Aug_Urb_21-plot211,2,1,SI_Urb_22-2,3.76,0,0,,2,KEEP,TRUE
95,2020-1362,69.33,73.36,85.48,98.28,99.72,101.85,88,Aug_Urb_21-plot512,9,1,SI_Urb_22-9,6.55,11.6,61.4,,9,KEEP,TRUE
96,2020-6633,70.74,76.3,85.74,96.27,99.72,99.09,87.98,Aug_Urb_21-plot3311,24,3,SI_Urb_22-84,6.86,11.6,62.1,,144,KEEP,TRUE
97,2020-11134,69.74,73.5,85.73,95.8,99.31,103.75,87.97,Aug_Urb_21-plot5403,11,5,SI_Urb_22-131,7.67,11.6,61.1,,251,KEEP,TRUE
98,2020-6415,70.17,71.99,86,95.22,100.96,103.41,87.96,Aug_Urb_21-plot3213,21,3,SI_Urb_22-81,5.29,11.7,61.7,,141,KEEP,TRUE
99,2020-8754,70.21,72.07,86.06,94.18,100.49,104.64,87.94,Aug_Urb_21-plot4213,18,4,SI_Urb_22-103,6.07,11.9,60,,198,KEEP,TRUE
100,IL16LCSDH-01-T-863-6,67.03,72.31,85.85,99.42,98.63,104.22,87.91,DH2_Urb_21-plot105,,,,,,,,,,
101,IL16LCSDH-11-T-2666-208,67.33,70.5,86.26,97.08,102.14,103.85,87.86,DH_Urb_21-plot1716,,,,,,,,,,
102,IL16LCSDH-01-T-863-5,69.06,68.86,83.39,98.48,100.56,106.8,87.86,DH2_Urb_21-plot104,,,,,,,,,,
103,2020-11167,69.4,71.85,85.67,95.68,99.75,104.59,87.82,Aug_Urb_21-plot5408,13,5,SI_Urb_22-133,7.08,11.5,60.8,,253,KEEP,TRUE
104,IL16LCSDH-06-T-2661-202,71.24,71.92,86.74,97.01,97.25,102.54,87.78,DH_Urb_21-plot1508,,,,,,,,,,
105,2020-3234,69.8,70.42,85.89,95.22,101.36,104.02,87.78,Aug_Urb_21-plot1616,17,2,SI_Urb_22-44,6.01,11.8,59.8,,77,KEEP,TRUE
106,2020-2770,69.12,71.98,85.39,96.57,99.63,103.22,87.65,Aug_Urb_21-plot1420,22,2,SI_Urb_22-39,6.5,11.6,62.5,,82,KEEP,
107,2020-5361,68.89,75.91,85.01,96.43,96.41,103.21,87.64,Aug_Urb_21-plot2807,1,2,SI_Urb_22-60,6.7,11.4,61.5,,61,KEEP,TRUE
108,2020-6010,71.34,74.39,85.95,93.49,101.17,99.22,87.59,Aug_Urb_21-plot3013,9,3,SI_Urb_22-69,7.31,12,61.5,,129,KEEP,TRUE
109,2020-17017,70.59,76.33,85.65,92.3,97.74,102.77,87.56,Aug_Urb_21-plot8111,19,7,SI_Urb_22-199,7.33,11.1,61.6,,379,KEEP,TRUE
110,2020-4907,70.55,75.11,85.52,94.71,99.68,99.41,87.5,Aug_Urb_21-plot2603,9,2,SI_Urb_22-52,6.34,11.8,60.9,,69,KEEP,TRUE
111,2020-1847,69.34,75.21,84.96,97.35,98.41,99.33,87.43,Aug_Urb_21-plot911,19,1,SI_Urb_22-19,4.01,0,0,,19,KEEP,TRUE
112,2020-7369,69.01,71.94,85.12,97.1,99.83,101.35,87.39,Aug_Urb_21-plot3709,29,3,SI_Urb_22-89,6.93,11.8,60.5,,149,KEEP,TRUE
113,IL16LCSDH-07-T-2662-47,70.18,69.64,86.15,98.57,97.34,102.24,87.35,DH_Urb_21-plot815,,,,,,,,,,
114,IL16LCSDH-10-T-2665-42,81.03,73.76,86.99,90.31,98.19,93.83,87.35,DH_Urb_21-plot1209,,,,,,,,,,
115,2020-9856,69.88,69.6,85.72,93.55,101.58,103.54,87.31,Aug_Urb_21-plot4708,9,4,SI_Urb_22-112,7.99,11.6,62.2,,189,KEEP,TRUE
116,2020-13145,69,72.8,85.1,94.96,98.28,103.49,87.27,Aug_Urb_21-plot6020,28,5,SI_Urb_22-148,7.33,11.4,60.5,,268,KEEP,TRUE
117,2020-7024,69.58,73.5,85.16,95.32,99.19,100.8,87.26,Aug_Urb_21-plot3509,27,3,SI_Urb_22-87,7.34,11.6,62.5,,147,KEEP,TRUE
118,2020-6171,71.2,76.7,85.49,93.01,99.3,97.8,87.25,Aug_Urb_21-plot3115,15,3,SI_Urb_22-75,6.97,11.7,61.1,mixed with 16,135,KEEP,TRUE
119,2020-1511,70.9,74.51,85.54,93.29,100.29,98.79,87.22,Aug_Urb_21-plot613,10,1,SI_Urb_22-10,6.33,11.6,62.5,,10,KEEP,TRUE
120,2020-16641,70.88,73.71,85.6,92.8,100.59,99.46,87.17,Aug_Urb_21-plot7903,12,7,SI_Urb_22-192,7.03,11,60.8,,372,KEEP,TRUE
121,IL16LCSDH-06-T-2661-19,58.89,73.39,85.58,97.91,100.86,106.21,87.14,DH2_Urb_21-plot504,,,,,,,,,,
122,IL16LCSDH-11-T-2666-212,69.46,71.46,84.64,95.76,99.7,101.72,87.12,DH_Urb_21-plot1719,,,,,,,,,,
123,IL16LCSDH-07-T-2662-201,68.35,75.21,83.92,94.27,99.54,101.4,87.11,DH_Urb_21-plot1606,,,,,,,,,,
124,2020-16118,69.47,71.74,85.16,95.14,100.16,100.93,87.1,Aug_Urb_21-plot7511,5,7,SI_Urb_22-185,6.89,11.3,61.4,,365,KEEP,TRUE
125,2020-15403,71.16,71.54,85.92,90.89,101.78,101.27,87.09,Aug_Urb_21-plot7112,11,6,SI_Urb_22-170,7.21,11.3,62.6,,311,KEEP,TRUE
126,IL16LCSDH-01-T-863-92,72.74,75.34,83.45,92.39,99.33,99.21,87.08,DH_Urb_21-plot204,,,,,,,,,,
127,2020-4951,71.27,74.52,85.67,91.21,100.16,99.6,87.07,Aug_Urb_21-plot2609,8,2,SI_Urb_22-53,6.96,11.9,60.4,,68,KEEP,TRUE
128,2020-6154,71.45,78.21,85.42,91.16,98.02,98.16,87.07,Aug_Urb_21-plot3113,14,3,SI_Urb_22-74,6.77,12,61.1,,134,KEEP,TRUE
129,2020-6116,69.61,73.15,85.15,93.23,98.65,102.27,87.01,Aug_Urb_21-plot3108,11,3,SI_Urb_22-71,7.64,11.7,62.5,,131,KEEP,TRUE
130,IL16LCSDH-06-T-2661-212,65.65,69.91,82.36,97.71,100.94,105.38,86.99,DH_Urb_21-plot1512,,,,,,,,,,
131,IL16LCSDH-02-T-864-38,71.6,65.02,85.12,100.58,98.26,101.26,86.97,DH_Urb_21-plot401,,,,,,,,,,
132,IL16LCSDH-02-T-864-54,64.14,70.03,84.47,95.46,102.67,104.53,86.88,DH_Urb_21-plot406,,,,,,,,,,
133,2020-3607,69.92,72.13,85.15,93.96,100.43,99.58,86.86,Aug_Urb_21-plot1719,15,2,SI_Urb_22-46,7.08,11.5,62.1,,75,KEEP,TRUE
134,2020-2037,68.3,69.56,84.79,95.49,99.55,103.3,86.83,Aug_Urb_21-plot1015,28,1,SI_Urb_22-28,7.25,11.5,60.4,,28,KEEP,TRUE
135,2020-5545,68.25,72.03,84.53,95.91,97.98,102.16,86.81,Aug_Urb_21-plot2906,6,3,SI_Urb_22-66,6.67,11.2,63.2,,126,KEEP,TRUE
136,2020-5871,69.7,74.46,84.87,93.6,98.26,99.88,86.8,Aug_Urb_21-plot3009,8,3,SI_Urb_22-68,6.51,11.6,61.6,,128,KEEP,TRUE
137,2020-9828,69.57,72.91,84.97,93.36,98.92,100.96,86.78,Aug_Urb_21-plot4705,10,4,SI_Urb_22-111,7.26,11.6,62.2,,190,KEEP,TRUE
138,2020-14872,69.66,73.04,85.09,91.72,98.25,102.85,86.77,Aug_Urb_21-plot6818,17,6,SI_Urb_22-164,6.5,12,62.3,,317,KEEP,TRUE
139,IL16LCSDH-02-T-864-63,60.69,72.91,85.38,96.58,100.25,104.77,86.76,DH_Urb_21-plot409,,,,,,,,,,
140,IL16LCSDH-01-T-863-32,60.9,70.32,80.26,100.73,101.49,106.81,86.75,DH2_Urb_21-plot116,,,,,,,,,,
,2020-13011,69.06,71.81,84.85,93.96,98.94,101.83,86.74,Aug_Urb_21-plot6006,27,5,SI_Urb_22-147,6.71,11.8,60.1,,267,KEEP,TRUE
,2020-17006,69,72.26,84.79,93.21,98.19,102.56,86.67,Aug_Urb_21-plot8108,18,7,SI_Urb_22-198,7.08,11.2,61.6,,378,KEEP,TRUE
,2020-13223,68.67,72.74,84.6,93.66,97.4,102.71,86.63,Aug_Urb_21-plot6104,29,5,SI_Urb_22-149,7.43,12.5,59.6,,269,KEEP,TRUE
,2020-6909,69.67,73.09,84.86,93.33,99.09,99.71,86.62,Aug_Urb_21-plot3415,25,3,SI_Urb_22-85,7.09,11.7,62.2,,145,KEEP,TRUE
,2020-3205,70.4,75.75,84.89,92.32,98.35,97.87,86.6,Aug_Urb_21-plot1610,19,2,SI_Urb_22-42,6.36,11.3,60.1,,79,KEEP,TRUE
,IL16LCSDH-02-T-864-6,64.89,72.06,84.04,95.83,100.31,102.23,86.56,DH2_Urb_21-plot304,,,,,,,,,,
,2020-14337,69.58,73.73,84.81,91.93,97.86,101.31,86.54,Aug_Urb_21-plot6602,19,6,SI_Urb_22-162,6.93,11.7,60.1,,319,KEEP,TRUE
,2020-5827,68.95,71.43,84.53,95.46,99.85,98.59,86.47,Aug_Urb_21-plot3005,7,3,SI_Urb_22-67,6.5,12,61.5,,127,KEEP,TRUE
,2020-8628,68.56,70.05,84.72,92.68,98.64,104.09,86.46,Aug_Urb_21-plot4201,21,4,SI_Urb_22-100,6.01,11.8,59.9,,201,KEEP,TRUE
,IL16LCSDH-07-T-2662-237,73.84,70.2,86.12,91.37,96.62,100.57,86.45,DH_Urb_21-plot1704,,,,,,,,,,
,2020-16145,68.79,73.22,84.52,92.71,97,102.45,86.45,Aug_Urb_21-plot7515,6,7,SI_Urb_22-186,6.43,11.2,62.3,,366,KEEP,TRUE
,2020-10278,68.38,71.93,84.45,93.36,97.33,103.12,86.43,Aug_Urb_21-plot5020,3,5,SI_Urb_22-123,7.28,11.9,59.7,,243,KEEP,TRUE
,2020-2318,69.16,72.9,84.61,92.81,98.05,100.95,86.41,Aug_Urb_21-plot1203,29,2,SI_Urb_22-32,7.03,11.6,62,,89,KEEP,TRUE
,IL16LCSDH-06-T-2661-9,59.81,70.74,84.85,95.71,99.41,107.73,86.38,DH2_Urb_21-plot503,,,,,,,,,,
,IL16LCSDH-01-T-863-121,72.25,70.74,85.69,91.19,98.06,100.36,86.38,DH_Urb_21-plot213,,,,,,,,,,
,2020-1643,68.38,73.5,84.15,95.31,97.24,99.68,86.38,Aug_Urb_21-plot713,13,1,SI_Urb_22-13,6.83,11.9,62.3,,13,KEEP,TRUE
,2020-1919,68.12,72.16,84.29,93.65,96.82,103.12,86.36,Aug_Urb_21-plot919,23,1,SI_Urb_22-23,6.51,11.8,60.7,,23,KEEP,TRUE
,2020-13814,69.24,71.41,84.65,93.51,99.59,99.72,86.35,Aug_Urb_21-plot6319,25,6,SI_Urb_22-156,6.9,11.5,61.8,,325,KEEP,TRUE
,2020-10026,68.43,73.41,84.12,95.36,97.47,99.15,86.32,Aug_Urb_21-plot4813,5,4,SI_Urb_22-116,7.46,11.2,61.5,,185,KEEP,TRUE
,2020-2330,67.79,73.59,84.01,94.16,95.43,102.91,86.32,Aug_Urb_21-plot1206,28,2,SI_Urb_22-33,6.96,11.7,59.6,,88,KEEP,TRUE
,19-21652,68.95,73.99,84.39,92.75,96.91,100.9,86.32,Aug_Urb_20-plot4607,,,,,,,,,,
,IL16LCSDH-01-T-863-72,67.34,67.96,82.4,96.99,99.87,102.88,86.24,DH2_Urb_21-plot214,,,,,,,,,,
,IL16LCSDH-01-T-863-63,62.25,70.85,79.35,95.58,103.33,105.97,86.22,DH_Urb_21-plot111,,,,,,,,,,
,2020-1862,66.81,69.81,83.74,97.7,97.73,101.49,86.21,Aug_Urb_21-plot912,20,1,SI_Urb_22-20,5.79,12.8,57,,20,KEEP,TRUE
